experiment_id,injection_volume,primary_injection_structure,p_injectionID,p_volume,sec_1_injection,sec_1_injectionID,sec_1_volume,sec_2_injection,sec_2_injectionID,sec_2_volume,sec_3_injection,sec_3_injectionID,sec_3_volume,sec_4_injection,sec_4_injectionID,sec_4_volume,sec_5_injection,sec_5_injectionID,sec_5_volume,sec_6_injection,sec_6_injectionID,sec_6_volume,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
acronym,,,,,,,,,,,,,,,,,,,,,,,VISp6a,VISpm2/3,VISl6a,VISl6b,VISal5,VISpm6a,VISpl2/3,VISam1,VISp6b,VISpl6a,VISp,VISpl6b,VISam,VISam4,VISal,VISl,VISrl,VISl1,VISpl,VISam5,VISam6b,VISpm6b,VISpm4,VISpm,VISpm5,VISl4,VISp1,VISal6a,VISl5,VISal6b,VISp4,VISpl1,VISp5,VISpm1,VISp2/3,VISpl4,VISpl5,VISal2/3,VISl2/3,VISam6a,VISam2/3,VISal1,VISal4,VISli1,VISli6a,VISli6b,VISa,VISa1,VISa2/3,VISa4,VISa5,VISa6a,VISa6b,VISli,VISli2/3,VISli4,VISli5,VISrl1,VISrl2/3,VISrl4,VISrl5,VISrl6a,VISrl6b,VISpor,VISpor1,VISpor2/3,VISpor4,VISpor5,VISpor6a,VISpor6b,VISp6a,VISpm2/3,VISl6a,VISl6b,VISal5,VISpm6a,VISpl2/3,VISam1,VISp6b,VISpl6a,VISp,VISpl6b,VISam,VISam4,VISal,VISl,VISrl,VISl1,VISpl,VISam5,VISam6b,VISpm6b,VISpm4,VISpm,VISpm5,VISl4,VISp1,VISal6a,VISl5,VISal6b,VISp4,VISpl1,VISp5,VISpm1,VISp2/3,VISpl4,VISpl5,VISal2/3,VISl2/3,VISam6a,VISam2/3,VISal1,VISal4,VISli1,VISli6a,VISli6b,VISa,VISa1,VISa2/3,VISa4,VISa5,VISa6a,VISa6b,VISli,VISli2/3,VISli4,VISli5,VISrl1,VISrl2/3,VISrl4,VISrl5,VISrl6a,VISrl6b,VISpor,VISpor1,VISpor2/3,VISpor4,VISpor5,VISpor6a,VISpor6b
hemisphere,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
180296424,0.800079,VISp,385,0.394464,VISl,409,0.268214,VISpl,425,0.100382,VISli,312782574,0.0132453,VISpor,312782628,0.0224053,,,,,,,0.432866,0.0656686,0.0725002,0.0180681,0.0836387,0.0472146,0.0675736,0.0351253,0.050771,0.0254752,1.94006,0.00202793,0.185618,0.0135848,0.304058,0.429658,0.167676,0.0887669,0.249884,0.0454867,0.00325316,0.00482337,0.0197315,0.256926,0.0676638,0.0554356,0.369574,0.0492521,0.108293,0.00710905,0.219916,0.0705475,0.409128,0.0518242,0.4578,0.0202772,0.0639827,0.0795143,0.0968306,0.0306136,0.0575545,0.0449187,0.0396246,0.0375163,0.0499307,0.00749622,0.099852,0.0107852,0.0323666,0.0103943,0.0207434,0.0211914,0.00437122,0.264742,0.0622458,0.0271251,0.0804279,0.0276862,0.0546287,0.0238488,0.0341176,0.0233679,0.00402655,0.640206,0.101581,0.166428,0.0314447,0.203052,0.117454,0.0202457,0.247698,0.0173343,0.0680197,0.0103475,0.00793224,0.0134757,0.0356236,0.00369226,0.0351853,0.0214,0.96926,0.0019305,0.0310279,0.00126673,0.0374109,0.312707,0.0119471,0.0508652,0.140748,0.00529764,0.00106475,0.00191779,0.00304914,0.0554658,0.0118048,0.0391926,0.16555,0.00773687,0.0674711,0.00126792,0.107102,0.0275683,0.18151,0.00788407,0.232215,0.012709,0.0415167,0.0119903,0.0768111,0.00716882,0.0125377,0.00391261,0.00457099,0.00403144,0.00974302,0.0019719,0.00609222,0.000762053,0.00192741,0.000214365,0.00090467,0.00186693,0.000416802,0.0321225,0.00711022,0.00209125,0.00717468,0.00146863,0.00377347,0.00105496,0.00144958,0.00345278,0.000747698,0.178253,0.0216711,0.0452419,0.00913282,0.053847,0.0426171,0.00574344
512315551,1.61421,VISp,385,1.28296,VISl,409,0.217539,VISpl,425,0.015787,RSPagl,894,0.0925406,,,,,,,,,,0.0351036,0.00508132,0.00551458,0.000947024,0.000791195,0.00189359,0.00818097,0.000218208,0.0061628,0.00216452,0.149442,8.88E-05,0.00232624,0.000126693,0.00460522,0.0352708,0.00564457,0.00481305,0.0223435,0.000346478,7.34E-05,0.000560358,0.000766704,0.0105982,0.00133423,0.00467052,0.0255721,0.000216945,0.00673003,4.74E-05,0.0137443,0.00437831,0.0220512,0.000961946,0.0468078,0.00223228,0.00529857,0.00229912,0.0125956,0.000343401,0.00121809,0.000712592,0.000537974,4.55E-05,0.000305889,7.00E-05,9.24E-05,1.33E-05,2.40E-05,4.39E-07,4.57E-06,2.61E-05,2.40E-05,0.000983266,0.000236524,6.89E-05,0.000256395,0.000578888,0.00269328,0.000679688,0.00133199,0.000307498,5.32E-05,0.0142512,0.00216696,0.00662695,0.000616226,0.00352361,0.00112773,0.000189721,0.0705727,0.0652479,0.0173146,0.00433097,0.0351606,0.02452,0.0167547,0.001775,0.0113195,0.00933759,0.79399,0.000922944,0.0399951,0.00291205,0.105362,0.134764,0.07922,0.0273108,0.0700461,0.012812,0.00132257,0.00324973,0.016325,0.184595,0.0575261,0.0207672,0.14045,0.00927322,0.032898,0.00164384,0.125093,0.0107076,0.195979,0.0177259,0.258242,0.00707958,0.0252437,0.0344004,0.0537878,0.00649791,0.0146756,0.00823228,0.0166521,0.00660077,0.0123366,0.00252599,0.0251578,0.000809835,0.0109055,0.00257604,0.00766614,0.0026121,0.000588196,0.0647845,0.0145976,0.00627161,0.0224519,0.00421372,0.0286168,0.0120925,0.0256695,0.00751382,0.00111367,0.161974,0.0129051,0.0452589,0.00942763,0.0620059,0.0277703,0.00460607
309004492,1.083,VISp,385,0.574004,VISl,409,0.467056,VISpl,425,0.022689,,,,,,,,,,,,,0.236677,0.0629162,0.0792915,0.0105237,0.0719499,0.0333284,0.039316,0.0158902,0.0381632,0.0168905,1.18551,0.00203817,0.0943151,0.00654681,0.271727,0.43121,0.228737,0.0551655,0.161307,0.0203643,0.00314605,0.0046495,0.0170755,0.205291,0.0453796,0.0628877,0.207511,0.0467051,0.119365,0.00820532,0.162415,0.0387212,0.238582,0.0419416,0.302161,0.0141431,0.0501981,0.0694029,0.103976,0.0183027,0.030065,0.0406905,0.0347732,0.0320021,0.0403089,0.00792126,0.0481748,0.00371238,0.013279,0.00486876,0.0102421,0.0124019,0.00367064,0.239331,0.0568936,0.0280476,0.0741579,0.0293318,0.0701354,0.0349933,0.0558127,0.0334612,0.00500242,0.402895,0.059749,0.107941,0.0254695,0.130007,0.0691043,0.0106246,0.150885,0.0150674,0.0426308,0.00770368,0.00737947,0.0097124,0.0103026,0.000996185,0.0270781,0.00592933,0.585961,0.000500602,0.0202898,0.00142218,0.034581,0.173501,0.0305307,0.012745,0.0371594,0.00300945,0.00106126,0.00209902,0.00289289,0.0392542,0.00698167,0.0272145,0.0656731,0.0072732,0.0386942,0.00155207,0.085446,0.0045145,0.0965393,0.0025008,0.160339,0.00405665,0.0118558,0.0114663,0.0445125,0.00497136,0.00882935,0.00163258,0.00527741,0.000429047,0.00423491,0.0011931,0.00224409,2.75E-05,0.000912276,0.000126057,0.000133205,0.000731507,0.000313527,0.0105244,0.00211125,0.000812069,0.001744,0.00175986,0.0113786,0.00494167,0.00442534,0.0065345,0.0014907,0.0516718,0.00305037,0.0147575,0.00203464,0.0157703,0.0135762,0.00248287
113887162,0.407837,VISp,385,0.390234,VISrl,417,0.0169777,,,,,,,,,,,,,,,,0.593407,0.0958086,0.0900086,0.0166643,0.150925,0.0898535,0.0364159,0.0499506,0.110432,0.014681,2.99563,0.00147652,0.268218,0.0150763,0.571253,0.297167,0.833069,0.0507415,0.139883,0.0579359,0.0106747,0.0151612,0.0317478,0.40167,0.100939,0.029243,0.620356,0.0996433,0.0555222,0.0166966,0.36203,0.0396309,0.544972,0.0681598,0.764437,0.0103748,0.0373037,0.140582,0.0549873,0.067158,0.0674225,0.087939,0.0754676,0.0297905,0.038448,0.00650547,0.304343,0.0641742,0.0654669,0.0210294,0.0531974,0.0805348,0.0199404,0.182666,0.0411758,0.0202673,0.0464791,0.160756,0.220474,0.0939757,0.187308,0.14231,0.0282455,0.224247,0.0307005,0.0592471,0.0039393,0.0609551,0.0610094,0.00839548,0.206739,0.0159178,0.0207371,0.00400305,0.00648624,0.0167581,0.0038476,0.0033515,0.0333673,0.00157176,0.557664,0.000113868,0.04156,0.00160755,0.041948,0.0435863,0.160652,0.00375491,0.0162719,0.00608692,0.00378594,0.00543049,0.00332769,0.0561819,0.00819952,0.00397325,0.0822202,0.0168505,0.00647997,0.00273373,0.0563888,0.00485251,0.0851221,0.00654829,0.093827,0.00104943,0.00483677,0.00691536,0.00463801,0.0128473,0.0138807,0.00464851,0.00431371,0.00273254,0.00438148,0.000993554,0.0148581,0.00156157,0.00175302,0.000710889,0.000613801,0.00761226,0.00260659,0.0174221,0.00432111,0.00144093,0.00355249,0.0162709,0.0276692,0.0148306,0.0334525,0.0612134,0.00721513,0.0193901,0.00265572,0.008002,3.05E-06,0.00434287,0.00366186,0.000724635
307558646,1.05846,VISp,385,1.02593,VISl,409,0.00703864,,,,,,,,,,,,,,,,0.260184,0.0449933,0.0882684,0.0148083,0.0311442,0.0419046,0.0185051,0.0107015,0.0455936,0.0138691,1.38569,0.00110329,0.0635697,0.00277119,0.130208,0.376781,0.217865,0.0503716,0.0878774,0.0118528,0.00353735,0.00732073,0.0120078,0.164112,0.0370362,0.0496551,0.23981,0.0260096,0.0930702,0.00526473,0.193386,0.0179992,0.270423,0.0208492,0.37629,0.00767231,0.0287284,0.0304408,0.0806074,0.016982,0.0177249,0.0218183,0.0155299,0.0119088,0.0257207,0.00431375,0.0342571,0.00574352,0.00362762,0.000989466,0.00406209,0.0148579,0.00497646,0.102463,0.022296,0.0112628,0.0269611,0.0296198,0.0636707,0.0260947,0.0581072,0.0350306,0.0053425,0.184339,0.0221066,0.0472192,0.00639094,0.0573814,0.0447982,0.00644244,0.123536,0.00944963,0.0254453,0.0043814,0.00344958,0.00722783,0.00323664,0.000401542,0.0240625,0.0020981,0.399973,0.000259548,0.0100907,0.000436936,0.02052,0.0825169,0.0201218,0.0045458,0.0120007,0.000959149,0.00132414,0.00211682,0.0017692,0.0252095,0.00219049,0.0143821,0.0517859,0.00734521,0.0184305,0.00168478,0.052366,0.00175389,0.0590495,0.00245555,0.0891732,0.00108948,0.00356301,0.00424106,0.0153318,0.0040902,0.00287872,0.00132655,0.00247284,5.58E-05,0.00186445,0.000672287,0.0018064,7.74E-05,0.000283214,0.000197069,0.000104538,0.000670997,0.000473139,0.00350284,0.000377595,0.00013924,0.000393441,0.00200305,0.00398034,0.00228017,0.00207176,0.00790114,0.00188538,0.00836622,0.000358981,0.00213882,0.000112586,0.00221951,0.00303155,0.000504769
309372716,0.908778,VISp,385,0.856621,VISal,402,0.0135001,VISl,409,0.0139647,VISrl,417,0.00928618,,,,,,,,,,0.305411,0.0322867,0.0870484,0.01252,0.0392702,0.0448243,0.036874,0.0148882,0.0510728,0.0166819,1.57906,0.00111277,0.104125,0.00574448,0.158808,0.357595,0.303065,0.0445876,0.146858,0.0205393,0.00411275,0.00681226,0.00986897,0.149619,0.0363403,0.0453538,0.270579,0.0311888,0.0964537,0.00447535,0.217615,0.0390251,0.313468,0.019486,0.420912,0.0130682,0.0400957,0.0373784,0.0716319,0.0274213,0.0314189,0.027208,0.0192877,0.0106446,0.0232193,0.00368415,0.0504398,0.00966909,0.00950118,0.00325674,0.00697595,0.0162659,0.00477095,0.0903035,0.0194217,0.00989521,0.0234386,0.0416644,0.0807058,0.0420784,0.0790861,0.0525416,0.0069888,0.194519,0.0213464,0.0427421,0.00777627,0.0605431,0.0551843,0.00692655,0.158379,0.00803622,0.0160096,0.00306685,0.00268083,0.0120633,0.00377893,0.000225879,0.0274756,0.00377319,0.489946,0.000444204,0.0115634,0.000330959,0.0151168,0.0383949,0.0215754,0.00220855,0.0195731,0.00142189,0.00160965,0.00282636,0.00218898,0.0315136,0.0052245,0.00473783,0.0565275,0.00526332,0.00593769,0.00112033,0.0631909,0.00352389,0.0798279,0.00117424,0.104546,0.00118419,0.00686871,0.00322006,0.00643435,0.0059105,0.00206452,0.000875767,0.00195654,4.44E-05,0.0023602,0.000774194,0.00324671,5.36E-05,0.000123442,6.30E-05,0.000225554,0.00207352,0.000707593,0.00427998,0.000453842,0.000134516,0.000512837,0.00159066,0.00444911,0.00275499,0.00275324,0.00805408,0.00197336,0.0122415,0.000404001,0.00184025,0.000106072,0.003213,0.00568299,0.000995141
307137980,0.488525,VISp,385,0.475221,,,,,,,,,,,,,,,,,,,0.674622,0.0685487,0.222629,0.0356914,0.0528803,0.0779624,0.0593089,0.0106598,0.104263,0.0401849,3.42971,0.00400861,0.0949814,0.00594922,0.245449,0.934323,0.258508,0.121475,0.261587,0.0166638,0.00639956,0.0107567,0.021526,0.263236,0.0560103,0.130374,0.629359,0.0506743,0.247748,0.00876944,0.454076,0.0678788,0.657246,0.0284323,0.910142,0.0226197,0.0675862,0.0577123,0.176406,0.0325941,0.0227149,0.0494176,0.0259955,0.0165948,0.0626078,0.00890732,0.0555001,0.00895629,0.00768664,0.00259813,0.00562906,0.0225648,0.00806519,0.164646,0.0218531,0.0116563,0.0430264,0.0415338,0.0643445,0.0320027,0.0581677,0.0542178,0.00824108,0.405193,0.0410982,0.0775777,0.0192047,0.125259,0.123469,0.018585,0.262822,0.00849241,0.0552186,0.0100673,0.00364502,0.0133425,0.0064736,0.000226742,0.0462388,0.0098359,0.672894,0.000981013,0.00940897,0.000237984,0.0222763,0.137574,0.0246508,0.00669134,0.036608,0.00078005,0.0014823,0.00356392,0.00210014,0.03322,0.00349819,0.0189627,0.0592329,0.00926197,0.0232115,0.00212535,0.0754875,0.00373497,0.0917663,0.00222292,0.137346,0.00298661,0.0125959,0.0035951,0.0234223,0.00516942,0.00151248,0.00112154,0.00252734,5.67E-05,0.00532798,0.00173091,0.00329188,0.000162622,0.000320037,3.92E-05,0.000125503,0.00218768,0.000456806,0.00881776,0.000328811,0.000293446,0.00107996,0.0016974,0.00430524,0.00202472,0.00281205,0.0110336,0.00277781,0.0307666,0.000332749,0.00282651,0.000154136,0.00741427,0.0163914,0.00364749
309113907,0.783661,VISp,385,0.770352,,,,,,,,,,,,,,,,,,,0.325212,0.0789925,0.0748288,0.0120195,0.0366234,0.0432202,0.0295709,0.0105487,0.0543992,0.0107241,1.79306,0.000909235,0.0673169,0.00372412,0.152563,0.34795,0.289578,0.046584,0.113677,0.012601,0.0040163,0.00748103,0.021355,0.241652,0.0500784,0.0463562,0.298622,0.029378,0.0904302,0.00554194,0.254764,0.0315039,0.364562,0.0405249,0.495503,0.00907083,0.0318979,0.0369673,0.0777317,0.0192609,0.017166,0.0271716,0.0168803,0.013565,0.021657,0.00270992,0.0408545,0.00925254,0.00476489,0.00166551,0.0048104,0.0147022,0.00565896,0.107625,0.0269473,0.0133514,0.0293948,0.042299,0.0811705,0.0396505,0.0743524,0.0456891,0.00641664,0.1433,0.0182047,0.0347572,0.00604427,0.0425632,0.0371211,0.00460922,0.119332,0.014901,0.0152012,0.00342756,0.00136911,0.0100862,0.00333671,0.000278265,0.0218571,0.00248277,0.306519,0.000243521,0.0123922,0.00104383,0.009538,0.0322065,0.0151844,0.00152448,0.0140035,0.00115282,0.00111276,0.00262775,0.00334921,0.038612,0.00530753,0.00339622,0.0295143,0.00460489,0.00451163,0.000951767,0.0350814,0.00227488,0.0415964,0.00234028,0.0591381,0.00126218,0.00440347,0.0013744,0.00414543,0.00415259,0.00465193,0.000328443,0.000909386,1.24E-05,0.00206228,0.000749052,0.00146762,0.000103249,0.000233609,4.88E-05,0.000128093,0.000751488,0.00020233,0.00323996,0.00016414,0.000105949,0.00014609,0.000731437,0.00264692,0.00182993,0.00199265,0.00646933,0.00151415,0.00965229,0.000124389,0.00138645,1.77E-05,0.00316051,0.00419547,0.00076771
